"","site_name","DateTime","predator","prey"
"1",NA," 2021-02-04 02:28:59","coyote","medium size animal"
"2","site 5"," 2021-05-26 02:39:44","coyote","small mammal"
"3","site 8"," 2021-05-12 03:59:09","coyote","rabbit"
"4","site 8"," 2021-05-21 03:50:58","coyote","raccoon"
"5","site 8"," 2021-05-28 01:26:29","coyote","medium size animal"
"6","site 8"," 2021-06-01 01:25:44","coyote","medium size animal"
"7","site 8"," 2021-06-14 05:17:49","coyote","squirrel"
"8","site 8"," 2021-06-14 05:17:50","coyote","same as before (squirrel)"
"9","site 10"," 2021-02-26 21:23:46","coyote","small mammal"
"10","site 10"," 2021-05-27 23:20:39","coyote","small mammal"
"11","site 10"," 2021-08-16 03:32:14","coyote","small mammal"
"12","site 15"," 2021-07-12 21:43:31","coyote","small mammal"
"13","site 15"," 2021-07-13 22:15:21","coyote","small mammal"
"14","site 15"," 2021-07-19 22:33:26","coyote","small mammal"
"15","site 15"," 2021-08-10 02:05:09","coyote","small mammal"
"16","site 15"," 2021-08-12 22:54:22","coyote","small mammal"
"17","site 15"," 2021-08-13 02:12:46","coyote","small mammal"
"18","site 15"," 2021-08-24 22:01:33","coyote","small mammal"
"19","site 15"," 2021-08-30 21:42:47","coyote","small mammal"
"20","site 15"," 2021-09-15 23:17:33","coyote","small mammal"
"21","site 22"," 2021-01-19 04:48:03","coyote","rabbit"
"22","site 23"," 2020-10-14 22:28:43","coyote","cat"
"23","site 24"," 2021-07-26 06:07:05","coyote","medium size animal"
"24","site 7"," 2021-02-25 03:43:17","fox","rabbit"
"25","site 7"," 2021-02-26 23:58:49","fox","rabbit"
"26","site 7"," 2021-03-08 21:21:45","fox","rabbit"
"27","site 7"," 2021-03-21 05:27:58","fox","rabbit"
"28","site 9"," 2020-11-10 01:41:56","fox","small mammal"
"29","site 9"," 2020-11-10 01:41:57","fox","small mammal"
"30","site 10"," 2020-12-06 15:44:33","fox","small mammal"
"31","site 10"," 2020-12-10 03:52:05","fox","raccoon (interaction)"
"32","site 10"," 2021-02-19 04:47:44","fox","medium size animal"
"33","site 10"," 2021-02-19 04:52:19","fox","medium size animal"
"34","site 10"," 2021-03-02 04:49:34","fox","rabbit"
"35","site 10"," 2021-03-10 06:27:51","fox","raccoon (interaction)"
"36","site 10"," 2021-03-19 08:44:10","fox","bird (not interaction)"
"37","site 10"," 2021-03-30 06:47:19","fox","squirrel"
"38","site 10"," 2021-04-02 16:08:27","fox","anthropogenic"
"39","site 10"," 2021-05-16 08:34:06","fox","squirrel (hunting)"
"40","site 10"," 2021-06-22 09:13:23","fox","squirrel"
"41","site 10"," 2021-07-02 03:59:06","fox","squirrel"
"42","site 10"," 2021-07-05 07:29:58","fox","small mammal"
"43","site 10"," 2021-07-26 22:47:45","fox","raccoon (interaction)"
"44","site 10"," 2021-07-26 22:49:46","fox","raccoon (interaction)"
"45","site 10"," 2021-08-05 23:09:51","fox","raccoon (interaction)"
"46","site 11"," 2020-10-26 14:42:03","fox","squirrel"
"47","site 11"," 2020-12-22 15:49:25","fox","small mammal"
"48","site 11"," 2021-04-05 11:32:48","fox","small mammal"
"49","site 15"," 2021-06-12 18:33:02","fox","unknown (fish or trash)"
"50","site 15"," 2021-06-16 19:42:15","fox","medium size animal"
"51","site 24"," 2021-07-11 23:08:44","fox","medium size animal"
